amsuite_reverse_engineered_api_map_v4
Section,Screen,Field / Feature,Host,HTTP Method,Endpoint,RPC / Operation,Trigger,Request Payload Keys,Notes
Quote Save,Quote,Save coverage selections,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateDraftSubmission,Coverage change,lobData.personalAuto.coverages,"Hull, liability, endorsements"
Quote,Quote,Recalculate premium,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,rate,Coverage change,"submissionNumber, ratingOptions",Re-rates quote
Quote,Quote,Retrieve quote summary,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,retrieve,Enter Quote tab,quoteID,Loads premium breakdown
Navigation,Quote,Proceed to issue,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/workflow,proceedToIssue,Click Proceed,submissionNumber,Moves to Policy Info
Underwriting,Quote,Submit for approval,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/uw,submitForApproval,UW blocking,"submissionNumber, notes",Manual UW review
Quote,Quote (Calculator / Re-rate),"Calculate / ""Save & Quote""",amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,saveAndQuote,Click calculate button to get new price / re-rate,"sessionUUID, quoteID, baseData, lobData, quoteData, bindData, priorPolicies, mVRDataDTO, clueData, job, fieldAvailability, persons, pageContext",JSON-RPC 2.0 call. Returns updated premium + UW messages. pageContext in sample = VEHICLE.
Quote,Quote (Coverages / Options changes),Update coverages / limits / options after quote,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateQuotedSubmission,Change coverages/limits/options (or policy info fields) on a quoted submission,"sessionUUID, quoteID, baseData, lobData, quoteData, bindData, priorPolicies, persons, fieldAvailability, mVRDataDTO, clueData, job","Used after quote is already rated/quoted. Payload includes persons[].emailAddress1, customerCallOptInIndicator, etc."
Underwriting,Quote (UW Issues / Custom Quote),Update custom quote (UW issue handling / custom flow),amsuite.amig.com,POST,/pc/service/edge/gatewayquote/customquote,updateCustomQuote,"Triggered when interacting with custom quote / UW issue workflow (e.g., ""view more details"" / adjustments)","quote, coverages, quoteID, sessionUUID, periodStart, periodEnd, mVRDataDTO, clueData","JSON-RPC 2.0. quote contains hasUWIssuesBlockingQuote, hasUWIssuesBlockingIssuance flags (observed)."
Underwriting,Quote (UW Issues / Custom Quote),Update custom AMIG quote (AMIG-specific custom flow),amsuite.amig.com,POST,/pc/service/edge/gatewayquote/customquote,updateCustomAMIGQuote,Triggered during AMIG custom quote flow,"quote, coverages.personalAuto, quoteID, sessionUUID, periodStart, periodEnd, mVRDataDTO, clueData",JSON-RPC 2.0. coverages includes personalAuto subtree (observed).
Policy Info,Policy Info (Primary insured contact),Email / autodial consent / phone,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateQuotedSubmission,Edit Primary Insured contact details on Policy Info page,"persons[].emailAddress1, persons[].customerCallOptInIndicator, persons[].primaryPhoneType, persons[].cellNumber","These person fields were observed in updateQuotedSubmission payload, likely persisted from Policy Info screen."
